epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.6506,1.14538,5.03228,1.92051,0,0,0,0,0.63803,3.8396,1.34993,0.00010016,0.00010016,0.00010016
2,29.0247,0.70146,4.48352,1.43125,0.11291,0.49746,0.29271,0.235,0.63241,3.54627,1.26603,0.000183308,0.000183308,0.000183308
3,39.6888,0.6332,4.00288,1.35659,0.45429,0.51554,0.38505,0.31174,0.65961,3.02459,1.30913,0.000246005,0.000246005,0.000246005
4,49.834,0.62068,3.37532,1.33217,0.79314,0.54365,0.7172,0.59799,0.64825,1.73106,1.27298,0.000220039,0.000220039,0.000220039
5,60.7112,0.61598,2.80125,1.28793,0.90531,0.69125,0.91987,0.77378,0.67213,1.06498,1.26689,0.000189052,0.000189052,0.000189052
6,72.5039,0.59537,2.37568,1.28607,0.85449,0.87981,0.94694,0.78245,0.66327,0.81508,1.28628,0.000158065,0.000158065,0.000158065
7,83.6077,0.56473,2.09399,1.26135,0.94286,0.947,0.96777,0.83172,0.59256,0.68199,1.1686,0.000127078,0.000127078,0.000127078
8,94.8917,0.54093,1.86362,1.23103,0.94973,0.9424,0.97685,0.83945,0.62642,0.66126,1.21157,9.6091e-05,9.6091e-05,9.6091e-05
9,105.95,0.5336,1.78203,1.20206,0.98407,0.97178,0.98271,0.85069,0.57888,0.57886,1.13954,6.5104e-05,6.5104e-05,6.5104e-05
10,115.99,0.5152,1.7259,1.17991,0.97771,0.97431,0.97942,0.85785,0.57061,0.55119,1.11806,3.4117e-05,3.4117e-05,3.4117e-05
