epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.4451,1.24974,5.12239,2.0103,0,0,0,0,0.96372,3.85449,1.6677,7.512e-05,7.512e-05,7.512e-05
2,42.5609,0.82382,4.69052,1.50105,0,0,0,0,0.67307,3.80502,1.34245,0.000138186,0.000138186,0.000138186
3,48.6539,0.71297,4.42158,1.39945,0.13075,0.43245,0.24226,0.18472,0.67728,3.62978,1.34675,0.000185759,0.000185759,0.000185759
4,54.6115,0.66742,4.12624,1.39928,0.77143,0.19077,0.34935,0.28248,0.75484,2.92406,1.38492,0.000217839,0.000217839,0.000217839
5,60.5417,0.67414,3.80274,1.3828,0.84815,0.29533,0.45733,0.37554,0.82665,2.23704,1.45393,0.000189052,0.000189052,0.000189052
6,66.4459,0.64998,3.45632,1.34877,0.83358,0.38562,0.60919,0.49954,0.77437,1.70303,1.41043,0.000158065,0.000158065,0.000158065
7,72.4655,0.65,3.17514,1.34928,0.77944,0.57645,0.7662,0.63586,0.69543,1.49636,1.30071,0.000127078,0.000127078,0.000127078
8,78.4831,0.6198,2.94704,1.29256,0.85266,0.68772,0.85562,0.72887,0.67465,1.24757,1.24008,9.6091e-05,9.6091e-05,9.6091e-05
9,84.3388,0.59937,2.78545,1.26488,0.74278,0.81797,0.87662,0.74942,0.64876,1.14172,1.22134,6.5104e-05,6.5104e-05,6.5104e-05
10,90.3282,0.58461,2.60157,1.27078,0.80611,0.83307,0.8858,0.75389,0.64724,1.05782,1.2147,3.4117e-05,3.4117e-05,3.4117e-05
